"Step","LunarLander_with_labels_1000_good_reward - episode_reward","LunarLander_with_labels_1000_good_reward - episode_reward__MIN","LunarLander_with_labels_1000_good_reward - episode_reward__MAX"
"151","-306.6925416119118","-306.6925416119118","-306.6925416119118"
"152","-244.359423715903","-244.359423715903","-244.359423715903"
"153","-270.9120551999257","-270.9120551999257","-270.9120551999257"
"154","80.7434440617318","80.7434440617318","80.7434440617318"
"155","-108.8248573478921","-108.8248573478921","-108.8248573478921"
"156","-143.19886768221855","-143.19886768221855","-143.19886768221855"
"157","-105.69634720105067","-105.69634720105067","-105.69634720105067"
"158","-339.00827803669813","-339.00827803669813","-339.00827803669813"
"159","-137.75296594355257","-137.75296594355257","-137.75296594355257"
"160","-345.88268308833244","-345.88268308833244","-345.88268308833244"
"161","-308.6771680749535","-308.6771680749535","-308.6771680749535"
"162","-332.9713701353678","-332.9713701353678","-332.9713701353678"
"163","-305.73344085226836","-305.73344085226836","-305.73344085226836"
"164","-366.9182255656403","-366.9182255656403","-366.9182255656403"
"165","-300.41211838296203","-300.41211838296203","-300.41211838296203"
"166","-232.89290169951394","-232.89290169951394","-232.89290169951394"
"167","-183.7715648555722","-183.7715648555722","-183.7715648555722"
"168","-353.2295254800274","-353.2295254800274","-353.2295254800274"
"169","-264.2228662976094","-264.2228662976094","-264.2228662976094"
"170","-227.68982907806688","-227.68982907806688","-227.68982907806688"
"171","-268.34376727274275","-268.34376727274275","-268.34376727274275"
"172","-248.52748590577963","-248.52748590577963","-248.52748590577963"
"173","-71.08446727391797","-71.08446727391797","-71.08446727391797"
"174","-228.245871578703","-228.245871578703","-228.245871578703"
"175","-450.7530386825452","-450.7530386825452","-450.7530386825452"
"176","88.92851187964564","88.92851187964564","88.92851187964564"
"177","-146.653256354779","-146.653256354779","-146.653256354779"
"178","-304.70399028918155","-304.70399028918155","-304.70399028918155"
"179","-383.66427424430844","-383.66427424430844","-383.66427424430844"
"180","-287.25111379887346","-287.25111379887346","-287.25111379887346"
"181","-383.5726532074809","-383.5726532074809","-383.5726532074809"
"182","-322.15234467284483","-322.15234467284483","-322.15234467284483"
"183","-263.0299456784693","-263.0299456784693","-263.0299456784693"
"184","-227.08169970077319","-227.08169970077319","-227.08169970077319"
"185","-333.73927992490417","-333.73927992490417","-333.73927992490417"
"186","-83.53069374667055","-83.53069374667055","-83.53069374667055"
"187","-71.47961338356137","-71.47961338356137","-71.47961338356137"
"188","-338.0830474960356","-338.0830474960356","-338.0830474960356"
"189","-49.56132634175203","-49.56132634175203","-49.56132634175203"
"190","-408.2699920500482","-408.2699920500482","-408.2699920500482"
"191","-315.1544985087644","-315.1544985087644","-315.1544985087644"
"192","-97.77210529830305","-97.77210529830305","-97.77210529830305"
"193","-174.6144880908496","-174.6144880908496","-174.6144880908496"
"194","-222.2027947066533","-222.2027947066533","-222.2027947066533"
"195","-153.72981156987854","-153.72981156987854","-153.72981156987854"
"196","-268.7190178299693","-268.7190178299693","-268.7190178299693"
"197","-106.54939679120068","-106.54939679120068","-106.54939679120068"
"198","-250.58695670042363","-250.58695670042363","-250.58695670042363"
"199","-470.8612034122647","-470.8612034122647","-470.8612034122647"
"200","-284.8281931269968","-284.8281931269968","-284.8281931269968"
"201","-52.32169128842653","-52.32169128842653","-52.32169128842653"
"202","-304.54611604054685","-304.54611604054685","-304.54611604054685"
"203","-63.039534837314626","-63.039534837314626","-63.039534837314626"
"204","-333.20950783931335","-333.20950783931335","-333.20950783931335"
"205","-45.368879733726914","-45.368879733726914","-45.368879733726914"
"206","-197.3156085240841","-197.3156085240841","-197.3156085240841"
"207","-322.1108500743577","-322.1108500743577","-322.1108500743577"
"208","-283.77462922204836","-283.77462922204836","-283.77462922204836"
"209","-376.01914457219686","-376.01914457219686","-376.01914457219686"
"210","-186.7319398555905","-186.7319398555905","-186.7319398555905"
"211","-327.3202577069732","-327.3202577069732","-327.3202577069732"
"212","-334.3013404739294","-334.3013404739294","-334.3013404739294"
"213","-36.6232304778526","-36.6232304778526","-36.6232304778526"
"214","-312.8904097469328","-312.8904097469328","-312.8904097469328"
